sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
R57,200346,0.17021951944072414,0.10620663760253293,-0.00762775290122406,0.024003026078652387,0.014077234429473853,0.0004664870450113683,0.0012806229354729022,0.002245518422446362,0.0007853630200701216,-0.0,0.0,0.0,0.0
R61,200350,-0.06172174755853552,-0.015827510782910243,-0.028324498911852364,0.03680663708492987,0.007061312641875472,0.016563728159169396,-0.011002079106863807,0.002024865129858839,-0.0027001180986271855,-0.0,0.0,0.0,0.0
R62,200351,-0.1585416127616181,-0.024242166385399232,0.014472129986613893,-0.007164016284237945,0.030212173606626837,0.00654227320108855,-0.003589790362045999,-0.007732032465801992,-0.0005571653821889691,-0.0,0.0,0.0,0.0
R63,200352,-0.1511232700697543,0.007298790411324146,-0.03228654022529364,-0.016989579761771838,0.008659262778359876,-0.017643767681413073,-0.021139810610200857,-0.0029444003556966013,-0.00017711549997511154,-0.0,0.0,0.0,0.0
R64,200353,-0.030368345352361215,-0.014260222891715121,0.026760189161617036,0.01016299121245241,-0.02866208394064259,-0.004521186113234532,-0.008850546498041626,0.013888449500544523,-0.004980985481132539,-0.0,0.0,0.0,0.0
R65,200354,-0.18444487032416765,0.02235565920331629,-0.02856828206135831,-0.037366093864000416,0.006074709667824419,0.016256671488181704,0.01668958882171833,0.008226270900842115,-0.0016176925261658871,-0.0,0.0,0.0,0.0
R66,200355,-0.0976319084122708,-0.030904466310817974,-0.016220777474303727,0.030100230021051957,0.0066612936108360055,-0.023864407445949868,0.0158709703465702,0.0023357652976236133,0.006281672472391691,-0.0,0.0,0.0,0.0
R67,200356,0.035412650802293555,0.014636174232421872,0.0015225241437387203,0.0010199567636277552,-0.031735006294507324,0.015731905921145498,-0.003483463215282297,-0.011074691630712832,0.005247518165483586,-0.0,0.0,0.0,0.0
R68,200357,0.1401642549007056,-0.009752151990083344,0.030640338792517718,0.0038481288929667276,0.017997484094283808,-0.006340501859962648,0.009377465611960933,-0.007541661537669537,-0.008960533785085474,-0.0,0.0,0.0,0.0
R69,200358,0.30344406031815235,-0.06657149414467159,-0.03619762019178257,-0.0034845830167469644,-0.005439567367773783,0.00868275183212377,0.0036555187952846736,0.0005303749185868557,0.00046238194884538436,-0.0,0.0,0.0,0.0
R70,200359,-0.21252419775119633,0.00829858150994082,0.026394705940842512,0.00790288513500941,-0.029799031914276203,-0.0003585852177069286,0.008834698815955982,-0.005658498805650086,-0.0007922001945842537,-0.0,0.0,0.0,0.0
R71,200360,0.07796080902696075,-0.013411904096921286,0.05693720976640865,-0.013827098346556944,0.02050832052015257,0.00643079686195629,-0.006232179399294222,0.007011450290308853,0.007411932661622414,-0.0,0.0,0.0,0.0
R72,200361,0.16915465774106772,0.016174073642983164,-0.007501626025923076,-0.03501248391537748,-0.015616101832232858,-0.017946166190410177,-0.0014109961352338945,-0.001311409664679813,-0.00040305730065228276,-0.0,0.0,0.0,0.0
proportion_explained,0,0.876180160515013,0.0525621935487918,0.027970899145728274,0.0170347099017691,0.013915673163032116,0.0060866115503524065,0.003921424563354936,0.0016702204918016045,0.0006581071201567991,0.0,0.0,0.0,0.0
