Class,File type,Injection order,Batch ID
WT_3C,Sample,1,1
B_3C,Sample,2,1
WT_3C,Sample,3,1
B_0C,Sample,4,1
WT_6C,Sample,5,1
B_3C,Sample,6,1
Blank,Sample,7,1
Blank,Sample,8,1
B_6C,Sample,9,1
B_6C,Sample,10,1
Blank,Sample,11,1
Blank,Sample,12,1
Blank,Sample,13,1
WT_6C,Sample,14,1
NB_3C,Sample,15,1
WT_6C,Sample,16,1
B_0C,Sample,17,1
Blank,Sample,18,1
NB_6C,Sample,19,1
B_3C,Sample,20,1
NB_3C,Sample,21,1
Blank,Sample,22,1
NB_0C,Sample,23,1
NB_0C,Sample,24,1
NB_3C,Sample,25,1
NB_0C,Sample,26,1
NB_3C,Sample,27,1
B_0C,Sample,28,1
WT_0C,Sample,29,1
Blank,Sample,30,1
B_6C,Sample,31,1
NB_6C,Sample,32,1
NB_0C,Sample,33,1
WT_3C,Sample,34,1
NB_3C,Sample,35,1
B_6C,Sample,36,1
B_3C,Sample,37,1
Blank,Sample,38,1
B_0C,Sample,39,1
NB_6C,Sample,40,1
WT_3C,Sample,41,1
WT_0C,Sample,42,1
NB_3C,Sample,43,1
WT_6C,Sample,44,1
B_6C,Sample,45,1
NB_6C,Sample,46,1
B_6C,Sample,47,1
WT_6C,Sample,48,1
NB_6C,Sample,49,1
WT_0C,Sample,50,1
B_0C,Sample,51,1
WT_3C,Sample,52,1
NB_0C,Sample,53,1
NB_6C,Sample,54,1
WT_0C,Sample,55,1
NB_0C,Sample,56,1
B_3C,Sample,57,1
B_0C,Sample,58,1
WT_0C,Sample,59,1
WT_6C,Sample,60,1
WT_3C,Sample,61,1
B_3C,Sample,62,1
WT_0C,Sample,63,1
PBQC,Sample,64,1
PBQC,Sample,65,1
PBQC,Sample,66,1
PBQC,Sample,67,1
PBQC,Sample,68,1
PBQC,Sample,69,1
PBQC,Sample,70,1
